11	Berwick	7,738	0.4	8.9
12	Falmouth	12,307	0.6	7.1
13	York	13,170	0.6	6.9
14	Winthrop	6,007	0.2	12.2
15	Wells	10,412	0.6	7.6
16	South Berwick	7,500	0.9	3.6
17	Topsham	8,780	0.5	10.8
18	Scarborough	20,072	0.3	12.6
19	Windham	18,230	0.5	12.1
20	Orono	11,451	0.9	7.9
21	Freeport	8,542	0.5	12.9
22	Caribou	7,617	0.7	10.9
23	Bar Harbor	5,464	0.7	10.1
24	Farmington	7,617	0.7	11.4
25	Lisbon	8,869	1	8
26	Waldoboro	5,015	1	8.8
27	Buxton	8,285	1.1	7.7
28	Winslow	7,589	0.9	11.3
29	Belfast	6,765	0.7	13.9
30	Paris	5,145	0.6	16.3
31	Bridgton	5,391	1.1	10.4
32	Kittery	9,755	1.1	11
33	Old Town	7,450	0.7	17.3
34	Bath	8,293	0.6	18.4
35	Rockland	7,171	0.6	20.5
36	Fairfield	6,539	1.1	15.6
37	Saco	19,628	1.1	15.7
38	Ellsworth	8,008	0.7	22.7
39	Brunswick	20,672	1.4	17.5
40	South Portland	25,557	1.4	17.8
41	Westbrook	18,915	1.7	18.9
42	Lewiston	36,170	2.3	16.5
43	Brewer	8,984	1.3	29.6
44	Old Orchard Beach	8,890	2.6	18.2
45	Waterville	16,729	1.8	32
46	Presque Isle	8,997	2.4	29.1
47	Portland	66,997	2.9	24.3
48	Sanford	21,062	2.7	27
49	Auburn	23,031	2.2	33.2
50	Rumford	5,712	2.3	32
51	Houlton	5,770	3.3	21.7
52	Bangor	31,746	1.8	41
53	Biddeford	21,519	3	31.3
54	Skowhegan	8,223	3	31.4
55	Augusta	18,523	3.2	33.4